Algorithm,DatasetType,DatasetSize,MemoryLimit_MB,ExecutionTime_s,PeakMemory_MB,Status
MergeSort,Random,10000,96,0.1486,26.75,SUCCESS
MergeSort,Random,10000,128,0.1609,27.19,SUCCESS
MergeSort,Random,10000,256,0.1539,27.22,SUCCESS
MergeSort,Random,10000,512,0.1621,26.92,SUCCESS
QuickSort_InPlace,Random,10000,96,0.1424,27.36,SUCCESS
QuickSort_InPlace,Random,10000,128,0.1419,26.66,SUCCESS
QuickSort_InPlace,Random,10000,256,0.1420,27.64,SUCCESS
QuickSort_InPlace,Random,10000,512,0.1786,27.69,SUCCESS
MergeSort,NearlySorted,10000,96,0.1868,27.36,SUCCESS
MergeSort,NearlySorted,10000,128,0.1441,26.69,SUCCESS
MergeSort,NearlySorted,10000,256,0.1461,26.84,SUCCESS
MergeSort,NearlySorted,10000,512,0.1455,26.42,SUCCESS
QuickSort_InPlace,NearlySorted,10000,96,0.1441,27.45,SUCCESS
QuickSort_InPlace,NearlySorted,10000,128,0.1425,27.11,SUCCESS
QuickSort_InPlace,NearlySorted,10000,256,0.1388,27.02,SUCCESS
QuickSort_InPlace,NearlySorted,10000,512,0.1401,27.06,SUCCESS
MergeSort,Reversed,10000,96,0.1385,27.03,SUCCESS
MergeSort,Reversed,10000,128,0.1463,26.92,SUCCESS
MergeSort,Reversed,10000,256,0.1394,27.16,SUCCESS
MergeSort,Reversed,10000,512,0.1399,26.94,SUCCESS
QuickSort_InPlace,Reversed,10000,96,0.1373,26.81,SUCCESS
QuickSort_InPlace,Reversed,10000,128,0.1394,26.77,SUCCESS
QuickSort_InPlace,Reversed,10000,256,0.1423,26.70,SUCCESS
QuickSort_InPlace,Reversed,10000,512,0.1384,27.05,SUCCESS
MergeSort,Duplicates,10000,96,0.1460,26.42,SUCCESS
MergeSort,Duplicates,10000,128,0.1477,26.59,SUCCESS
MergeSort,Duplicates,10000,256,0.1511,26.61,SUCCESS
MergeSort,Duplicates,10000,512,0.1459,26.70,SUCCESS
QuickSort_InPlace,Duplicates,10000,96,0.1392,27.27,SUCCESS
